,economy,time,NY.GDP.MKTP.CD
0,ABW,YR2006,2469832402.23464
1,ABW,YR2007,2677653631.28492
2,ABW,YR2008,2843016759.77654
3,ABW,YR2009,2553631284.9162
4,ABW,YR2010,2453631284.9162
5,ABW,YR2011,2637988826.81564
6,ABW,YR2012,2615083798.88268
7,ABW,YR2013,2727932960.89385
8,ABW,YR2014,2791061452.51397
9,ABW,YR2015,2963128491.62011
10,ABW,YR2016,2983798882.68156
11,ABW,YR2017,3092178770.94972
12,ABW,YR2018,3276187709.49721
13,ABW,YR2019,3395793854.7486
14,AFE,YR2006,577586931666.752
15,AFE,YR2007,662868036074.349
16,AFE,YR2008,710536227816.537
17,AFE,YR2009,721901168421.28
18,AFE,YR2010,863519541417.774
19,AFE,YR2011,967824566958.791
20,AFE,YR2012,975354777362.368
21,AFE,YR2013,985987130726.701
22,AFE,YR2014,1006526390112.83
23,AFE,YR2015,927348469903.115
24,AFE,YR2016,885176429223.509
25,AFE,YR2017,1021043200767.01
26,AFE,YR2018,1007196197587.41
27,AFE,YR2019,1000834077088.55
28,AFG,YR2006,6971383338.70803
29,AFG,YR2007,9715765105.48016
30,AFG,YR2008,10249770318.5697
31,AFG,YR2009,12154835707.8987
32,AFG,YR2010,15633843661.8051
33,AFG,YR2011,18190413831.9037
34,AFG,YR2012,20203572959.5023
35,AFG,YR2013,20564485419.1684
36,AFG,YR2014,20550582746.8448
37,AFG,YR2015,19998143635.873
38,AFG,YR2016,18019554403.4503
39,AFG,YR2017,18896353155.8839
40,AFG,YR2018,18418860354.4238
41,AFG,YR2019,18904502222.2108
42,AFW,YR2006,396921040009.472
43,AFW,YR2007,465485534968.535
44,AFW,YR2008,567791156729.129
45,AFW,YR2009,508362731366.626
46,AFW,YR2010,598521555565.839
47,AFW,YR2011,682015858791.681
48,AFW,YR2012,737589473577.072
49,AFW,YR2013,833948054767.438
50,AFW,YR2014,894322482190.281
51,AFW,YR2015,768644740597.116
52,AFW,YR2016,691363412188.46
53,AFW,YR2017,684898755570.717
54,AFW,YR2018,767025741475.038
55,AFW,YR2019,822538393591.447
56,AGO,YR2006,52381025105.2177
57,AGO,YR2007,65266415706.9741
58,AGO,YR2008,88538664888.1983
59,AGO,YR2009,70307196477.0815
60,AGO,YR2010,81699526880.8079
61,AGO,YR2011,109436566876.419
62,AGO,YR2012,124998210652.243
63,AGO,YR2013,133401582620.494
64,AGO,YR2014,137244439121.374
65,AGO,YR2015,87219300384.5072
66,AGO,YR2016,49840491178.1518
67,AGO,YR2017,68972769395.6274
68,AGO,YR2018,77792944471.9494
69,AGO,YR2019,69309110145.7687
70,ALB,YR2006,8896074996.35876
71,ALB,YR2007,10677324872.8286
72,ALB,YR2008,12881352878.2501
73,ALB,YR2009,12044205572.4342
