economy,time,SP.URB.TOTL.IN.ZS
ABW,YR2006,44.511
ABW,YR2007,44.147
ABW,YR2008,43.783
ABW,YR2009,43.421
ABW,YR2010,43.059
ABW,YR2011,42.94
ABW,YR2012,42.957
ABW,YR2013,42.99
ABW,YR2014,43.041
ABW,YR2015,43.108
ABW,YR2016,43.192
ABW,YR2017,43.293
ABW,YR2018,43.411
ABW,YR2019,43.546
AFE,YR2006,30.6760655097936
AFE,YR2007,30.9347663936363
AFE,YR2008,31.3432413028329
AFE,YR2009,31.7575261988182
AFE,YR2010,32.1812909874008
AFE,YR2011,32.6176919701458
AFE,YR2012,33.0404735995372
AFE,YR2013,33.4762116803168
AFE,YR2014,33.9369626271775
AFE,YR2015,34.4255836913133
AFE,YR2016,34.8947525660119
AFE,YR2017,35.3589006750633
AFE,YR2018,35.8475977789474
AFE,YR2019,36.3362593667609
AFG,YR2006,22.907
AFG,YR2007,23.113
AFG,YR2008,23.32
AFG,YR2009,23.528
AFG,YR2010,23.737
AFG,YR2011,23.948
AFG,YR2012,24.16
AFG,YR2013,24.373
AFG,YR2014,24.587
AFG,YR2015,24.803
AFG,YR2016,25.02
AFG,YR2017,25.25
AFG,YR2018,25.495
AFG,YR2019,25.754
AFW,YR2006,39.0793036228639
AFW,YR2007,39.7215976792338
AFW,YR2008,40.3605353308944
AFW,YR2009,41.0015117521088
AFW,YR2010,41.6471579047466
AFW,YR2011,42.2882991749983
AFW,YR2012,42.9258849777623
AFW,YR2013,43.5540938885034
AFW,YR2014,44.180175009112
AFW,YR2015,44.8058632577217
AFW,YR2016,45.4250663763621
AFW,YR2017,46.0394778242827
AFW,YR2018,46.6494258286276
AFW,YR2019,47.2554132163805
AGO,YR2006,56.764
AGO,YR2007,57.524
AGO,YR2008,58.282
AGO,YR2009,59.034
AGO,YR2010,59.783
AGO,YR2011,60.528
AGO,YR2012,61.268
AGO,YR2013,62.002
AGO,YR2014,62.731
AGO,YR2015,63.446
AGO,YR2016,64.149
AGO,YR2017,64.839
AGO,YR2018,65.514
AGO,YR2019,66.177
ALB,YR2006,47.815
ALB,YR2007,48.902
ALB,YR2008,49.991
ALB,YR2009,51.076
ALB,YR2010,52.163
ALB,YR2011,53.247
ALB,YR2012,54.33
ALB,YR2013,55.387
