economy,time,IS.RRS.GOOD.MT.K6
ALB,YR2006,36.0
ALB,YR2007,53.0
ALB,YR2008,52.0
ALB,YR2009,46.0
ALB,YR2010,66.0
ALB,YR2011,50.0
ALB,YR2012,25.0
ALB,YR2013,23.0
ALB,YR2014,39.887
ALB,YR2015,23.124
ALB,YR2016,8.8
ALB,YR2017,25.3
ALB,YR2018,20.4
ALB,YR2019,43.0
ARB,YR2010,1722.304
ARE,YR2018,1373.0
ARE,YR2019,1488.485
ARG,YR2006,12628.0
ARG,YR2007,12871.0
ARG,YR2008,12025.0
ARG,YR2009,10649.0
ARG,YR2010,12112.0
ARG,YR2011,12198.0
ARG,YR2012,10583.0
ARG,YR2013,9746.0
ARG,YR2014,8893.0
ARG,YR2015,8274.0
ARG,YR2016,8529.0
ARG,YR2017,8377.0
ARM,YR2006,354.0
ARM,YR2007,771.0
ARM,YR2008,326.4
ARM,YR2009,718.0
ARM,YR2010,345.9
ARM,YR2011,816.0
ARM,YR2012,867.0
ARM,YR2013,851.0
ARM,YR2014,786.0
ARM,YR2015,640.0
ARM,YR2016,658.0
ARM,YR2017,689.46
ARM,YR2018,730.0
ARM,YR2019,860.0
AUS,YR2006,189425.0
AUS,YR2007,198961.0
AUS,YR2008,218684.0
AUS,YR2009,237163.0
AUS,YR2010,258624.0
AUS,YR2011,261420.0
AUS,YR2012,290570.0
AUS,YR2013,319000.0
AUS,YR2014,367700.0
AUS,YR2015,401600.0
AUS,YR2016,413490.0
AUS,YR2017,431307.31114667
AUS,YR2018,441273.24126364
AUS,YR2019,443004.62783715
AUT,YR2006,20980.0
AUT,YR2007,21371.0
AUT,YR2008,21915.0
AUT,YR2009,17767.0
AUT,YR2010,19833.0
AUT,YR2011,20345.0
AUT,YR2012,19499.0
AUT,YR2013,19564.0
AUT,YR2014,20746.0
AUT,YR2015,20814.0
AUT,YR2016,21361.0
AUT,YR2017,22256.0
AUT,YR2018,21996.241
AUT,YR2019,21736.0
AZE,YR2006,11059.0
AZE,YR2007,10375.0
AZE,YR2008,10021.0
AZE,YR2009,7592.0
AZE,YR2010,8250.0
AZE,YR2011,7845.0
AZE,YR2012,8212.0
AZE,YR2013,7958.0
AZE,YR2014,7371.0
AZE,YR2015,6210.0
AZE,YR2016,5192.0
AZE,YR2017,4633.0
AZE,YR2018,4492.0
AZE,YR2019,5152.0
BEL,YR2006,8587.0
BEL,YR2007,8148.0
BEL,YR2008,8469.0
BEL,YR2009,5947.0
BEL,YR2010,6264.0
BEL,YR2011,6698.0
BEN,YR2006,36.0
BFA,YR2006,0.737
BFA,YR2007,0.84
BGD,YR2007,776.0
BGD,YR2008,870.0
BGD,YR2009,800.0
BGD,YR2010,710.0
BGD,YR2011,693.0
BGD,YR2012,582.0
BGD,YR2013,525.0
BGD,YR2014,677.0
BGD,YR2015,694.0
BGD,YR2016,1053.0
BGR,YR2006,5396.0
BGR,YR2007,5241.0
BGR,YR2008,4693.0
BGR,YR2009,3145.0
BGR,YR2010,3064.0
BGR,YR2011,3291.0
BGR,YR2012,2908.0
BGR,YR2013,3246.0
BGR,YR2014,3439.0
BGR,YR2015,3650.0
BGR,YR2016,3434.0
BGR,YR2017,3931.0
BGR,YR2018,3792.0
BGR,YR2019,3901.6
BIH,YR2006,372.0
BIH,YR2007,1088.0
BIH,YR2008,1242.0
BIH,YR2009,992.0
BIH,YR2010,877.0
BIH,YR2011,1018.0
BIH,YR2012,1150.0
BIH,YR2013,1243.0
BIH,YR2014,1313.0
BIH,YR2015,1286.0
BIH,YR2016,1142.0
BIH,YR2017,1130.1
BIH,YR2018,1187.9
BIH,YR2019,1275.0
BLR,YR2006,45723.0
BLR,YR2007,47933.0
BLR,YR2008,48994.0
BLR,YR2009,42742.0
BLR,YR2010,46224.0
BLR,YR2011,49414.0
BLR,YR2012,48475.0
BLR,YR2013,43818.0
BLR,YR2014,44997.0
BLR,YR2015,40785.0
BLR,YR2016,41107.0
BLR,YR2017,48538.0
BLR,YR2018,52573.7
BLR,YR2019,48205.4
BRA,YR2006,7446.1
BRA,YR2007,9393.5
BWA,YR2006,674.0
BWA,YR2007,674.0
CAN,YR2006,341514.0
CAN,YR2007,347922.0
CAN,YR2008,334824.0
CAN,YR2009,294786.0
CAN,YR2010,332635.0
CAN,YR2011,347824.0
CAN,YR2012,368297.0
CAN,YR2013,386266.0
CAN,YR2014,414069.0
CAN,YR2015,412985.0
CAN,YR2016,396806.0
CAN,YR2017,420143.0
CAN,YR2018,445546.0
CAN,YR2019,446081.0
CEB,YR2006,10418.0
CEB,YR2007,10137.0
CEB,YR2008,9874.0
CEB,YR2009,7673.0
CEB,YR2010,8809.0
CEB,YR2011,9118.0
CEB,YR2012,9230.0
CEB,YR2013,9722.0
CEB,YR2014,10158.0
CEB,YR2015,10009.615
CEB,YR2016,10527.534
CEB,YR2017,11344.565
CEB,YR2018,10584.08
CEB,YR2019,10624.909
CHE,YR2006,12466.0
CHE,YR2007,11952.0
CHE,YR2008,12265.0
CHE,YR2009,10565.0
CHE,YR2010,11074.0
CHE,YR2011,11526.0
CHE,YR2012,11061.0
CHE,YR2013,11812.0
CHE,YR2014,12313.0
CHE,YR2015,12431.0
CHE,YR2016,12447.0
CHE,YR2017,11653.0
CHE,YR2018,11776.0
CHE,YR2019,11666.0
CHL,YR2010,3833.633027
CHL,YR2011,4118.699224
CHL,YR2012,4089.738747
CHL,YR2013,3981.463012
CHL,YR2014,4103.932874
CHL,YR2015,4085.724617
CHL,YR2016,4076.755917
CHL,YR2017,3760.2204401392
CHL,YR2018,3816.070253512
CHL,YR2019,3079.8397523271
CHN,YR2006,2195441.0
CHN,YR2007,2379700.0
CHN,YR2008,2510628.0
CHN,YR2009,2523917.0
CHN,YR2010,2764413.0
CHN,YR2011,2946579.0
CHN,YR2012,2918709.0
CHN,YR2013,2917390.0
CHN,YR2014,2753020.0
CHN,YR2015,2375430.0
CHN,YR2016,2379230.0
CHN,YR2017,2696220.0
CHN,YR2018,2882100.0
CHN,YR2019,3018200.0
CMR,YR2006,1136.385798
CMR,YR2007,1055.0
CMR,YR2008,978.0
CMR,YR2009,1018.255942
CMR,YR2010,1081.346693
CMR,YR2011,1056.962047
CMR,YR2017,841.569
CMR,YR2018,812.416
CMR,YR2019,974.087
COD,YR2006,323.0
COD,YR2007,299.0
COD,YR2008,275.0
COD,YR2009,152.0
COD,YR2010,193.0
COD,YR2011,158.0
COD,YR2012,170.0
COD,YR2013,174.0
COD,YR2014,148.0
COD,YR2015,133.0
COD,YR2016,174.0
COD,YR2017,194.0
COD,YR2018,188.0536
COD,YR2019,158.0
COG,YR2006,237.0
COG,YR2007,224.0
COG,YR2008,253.0
COG,YR2009,257.0
CUB,YR2006,1438.9
CUB,YR2007,1351.1
CZE,YR2006,15779.0
CZE,YR2007,16304.0
CZE,YR2008,15437.0
CZE,YR2009,12791.0
CZE,YR2010,13770.0
CZE,YR2011,14316.0
CZE,YR2012,14266.0
CZE,YR2013,13965.0
CZE,YR2014,14574.0
CZE,YR2015,15261.102013
CZE,YR2016,15618.690243
CZE,YR2017,15842.778
CZE,YR2018,16564.19
CZE,YR2019,16179.68
DEU,YR2006,107008.0
DEU,YR2007,114615.0
DEU,YR2008,115652.0
DEU,YR2009,95834.0
DEU,YR2010,107317.0
DEU,YR2011,113317.0
DEU,YR2012,110065.0
DEU,YR2013,112613.0
DEU,YR2014,112629.0
DEU,YR2015,116632.0
DEU,YR2016,128866.0
DEU,YR2017,131204.0
DEU,YR2018,129991.0
DEU,YR2019,129161.0
DNK,YR2006,1885.0
DNK,YR2007,1776.0
DNK,YR2008,1863.0
DNK,YR2009,1696.0
DNK,YR2010,2240.0
DNK,YR2011,2614.0
DNK,YR2012,2278.0
DNK,YR2013,2448.0
DNK,YR2014,2453.0
DNK,YR2015,2603.0
DNK,YR2016,2575.0
DNK,YR2017,2653.0
DNK,YR2018,2592.0
DZA,YR2006,1429.0
DZA,YR2007,1424.881
DZA,YR2008,1562.16
DZA,YR2009,1184.0
DZA,YR2010,1281.0
DZA,YR2011,1248.0
DZA,YR2012,1253.0
DZA,YR2014,928.0
DZA,YR2015,1011.0
DZA,YR2016,885.0
DZA,YR2017,1009.0
DZA,YR2018,1026.0
DZA,YR2019,908.0
EAS,YR2006,6804.25
EAS,YR2007,4405.0
EAS,YR2008,6856.5
EAS,YR2010,7166.0
EAS,YR2011,7087.0
EAS,YR2014,9724.0
EAS,YR2015,9768.0
EAS,YR2016,9767.0
EAS,YR2017,10812.5
ECA,YR2006,5396.0
ECA,YR2007,6084.5
ECA,YR2008,6529.4
ECA,YR2009,4289.0
ECA,YR2010,4874.75
ECA,YR2011,4832.9
ECA,YR2012,4442.0
ECA,YR2013,3246.0
ECA,YR2014,4213.25
ECA,YR2015,3955.625
ECA,YR2016,3429.0
ECA,YR2017,3609.5
ECA,YR2018,3186.0
ECA,YR2019,2935.0
ECS,YR2006,10167.0
ECS,YR2007,10029.0
ECS,YR2008,10021.0
ECS,YR2009,7632.5
ECS,YR2010,8413.5
ECS,YR2011,8539.0
ECS,YR2012,9230.0
ECS,YR2013,8930.0
ECS,YR2014,9596.0
ECS,YR2015,8468.0
ECS,YR2016,9455.0
ECS,YR2017,10362.0
ECS,YR2018,9637.54
ECS,YR2019,10270.0
EGY,YR2006,4188.0
EGY,YR2008,3840.367
EGY,YR2010,1592.136
EMU,YR2006,10739.0
EMU,YR2007,10040.5
EMU,YR2008,9980.5
EMU,YR2009,7339.0
EMU,YR2010,8341.0
EMU,YR2011,8677.5
EMU,YR2012,9275.0
EMU,YR2013,9366.0
EMU,YR2014,9596.0
EMU,YR2015,8468.0
EMU,YR2016,9455.0
EMU,YR2017,10362.0
EMU,YR2018,10792.0
EMU,YR2019,10270.0
ESP,YR2006,11599.0
ESP,YR2007,11212.0
ESP,YR2008,10662.0
ESP,YR2009,7714.0
ESP,YR2010,8577.0
ESP,YR2011,9593.0
ESP,YR2012,9390.0
ESP,YR2013,9366.0
ESP,YR2014,10303.0
ESP,YR2015,10812.0
ESP,YR2016,10644.0
ESP,YR2017,10507.0
ESP,YR2018,10792.0
ESP,YR2019,10459.0
EST,YR2006,10418.0
EST,YR2007,8430.0
EST,YR2008,5943.0
EST,YR2009,5934.0
EST,YR2010,6638.0
EST,YR2011,6271.0
EST,YR2012,5129.0
EST,YR2013,4722.0
EST,YR2014,3256.0
EST,YR2015,3114.0
EST,YR2016,2339.0
EST,YR2017,2325.0
EST,YR2018,2594.0
EST,YR2019,2155.0
EUU,YR2006,10739.0
EUU,YR2007,10285.5
EUU,YR2008,10268.0
EUU,YR2009,7693.5
EUU,YR2010,8693.0
EUU,YR2011,9256.5
EUU,YR2012,9275.0
EUU,YR2013,9470.0
EUU,YR2014,10158.0
EUU,YR2015,10009.615
EUU,YR2016,10527.534
EUU,YR2017,10507.0
EUU,YR2018,10792.0
EUU,YR2019,10541.9545
FIN,YR2006,11060.0
FIN,YR2007,10434.0
FIN,YR2008,10777.0
FIN,YR2009,8872.0
FIN,YR2010,9750.0
FIN,YR2011,9395.0
FIN,YR2012,9275.0
FIN,YR2013,9470.0
FIN,YR2014,9596.0
FIN,YR2015,8468.0
FIN,YR2016,9455.0
FIN,YR2017,10362.0
FIN,YR2018,11175.0
FIN,YR2019,10270.0
FRA,YR2006,41179.0
FRA,YR2007,42612.0
FRA,YR2008,40436.0
FRA,YR2009,32129.0
FRA,YR2010,29965.0
FRA,YR2011,34202.0
FRA,YR2012,32539.0
FRA,YR2013,32230.0
FRA,YR2014,32596.0
FRA,YR2015,36328.056893
FRA,YR2016,34699.8
FRA,YR2017,35464.9
FRA,YR2018,33835.6
FRA,YR2019,33893.1
GAB,YR2006,2202.0
GAB,YR2007,2502.0
GAB,YR2008,2485.0
GAB,YR2009,1581.0
GAB,YR2010,2238.0
GAB,YR2011,2417.0
GAB,YR2012,2235.0
GAB,YR2013,2613.0
GAB,YR2014,2447.0
GAB,YR2015,2727.0
GAB,YR2016,2058.0
GAB,YR2017,3276.0
GAB,YR2018,3210.576346
GAB,YR2019,406.0
GBR,YR2006,21918.784355994
GBR,YR2007,21265.297399239
GBR,YR2008,21076.885656054
GBR,YR2009,19171.477488606
GBR,YR2010,18576.419860376
GBR,YR2011,20973.823473378
GBR,YR2012,21466.803050594
GBR,YR2013,22401.431120115
GBR,YR2014,22143.367020006
GBR,YR2015,19342.444761281
GBR,YR2016,17053.216554029
GBR,YR2017,17166.930314851
GBR,YR2018,17205.693315326
GBR,YR2019,16884.335172455
GEO,YR2006,7378.7
GEO,YR2007,6928.0
GEO,YR2008,6529.4
GEO,YR2009,5433.0
GEO,YR2010,6227.5
GEO,YR2011,6054.8
