,Country,Year,Region,Democracy Index,energy_cons,rail_cargo,urban_per,service_per,GDP
0,Canada,2019,North America,9.22,547.2500179,446081.0,81.482,67.6711634824727,1743725183672.52
1,United States,2019,North America,7.96,3989.37824873,2357116.529,82.459,77.181114155661,21380976119000.0
2,Austria,2019,Western Europe,8.29,68.6259317,21736.0,58.515,63.129878993238,444621176100.54
3,Finland,2019,Western Europe,9.25,84.0471162,10270.0,85.446,60.1947819126316,268514916972.544
4,France,2019,Western Europe,8.12,448.0217777,33893.1,80.709,70.0435873295223,2728870246705.83
5,Germany,2019,Western Europe,8.68,517.4728151,129161.0,77.376,62.3788602062616,3888226035921.49
6,Greece,2019,Western Europe,7.43,51.7588833,491.0,79.388,69.4743925835279,205257014892.498
7,Ireland,2019,Western Europe,9.24,28.2406594,72.0,63.405,57.4612987533844,399321701632.424
8,Italy,2019,Western Europe,7.52,284.0286052,21309.0,70.736,66.2531597026352,2011302198827.41
9,Luxembourg,2019,Western Europe,8.81,6.4987854,191.152773984,91.223,78.9756859906793,69825641851.0104
10,Netherlands,2019,Western Europe,9.01,114.8093933,7080.0,91.876,69.9668534109009,910194347568.61
11,Norway,2019,Western Europe,9.87,123.7427674,3903.0,82.616,57.3102892822421,408742840909.091
12,Portugal,2019,Western Europe,8.03,49.1050443,2476.0,65.764,65.6264155710224,239986922638.897
13,Spain,2019,Western Europe,8.29,243.9651788,10459.0,80.565,68.1845151355305,1394320055129.38
14,Sweden,2019,Western Europe,9.39,128.6438537,22222.065674494,87.708,65.5151210418053,533879529188.454
15,Switzerland,2019,Western Europe,9.03,54.8775489,11666.0,73.849,71.8618845905274,721369112726.724
16,United Kingdom,2019,Western Europe,8.52,309.2651075,16884.335172455,83.652,71.0898841467011,2857057847953.02
17,Albania,2019,Central and Eastern Europe,5.89,6.500145,43.0,61.229,48.4073009295108,15401826080.5183
18,Armenia,2019,Central and Eastern Europe,5.54,5.79847,860.0,63.219,53.9731853016919,13619290545.8131
19,Azerbaijan,2019,Central and Eastern Europe,2.75,21.02663,5152.0,56.031,36.491070403755,48174235294.1176
20,Belarus,2019,Central and Eastern Europe,2.48,32.6335,48205.4,79.044,48.4265059525577,64410112583.362
21,Bosnia and Herzegovina,2019,Central and Eastern Europe,4.86,11.65745,1275.0,48.626,54.5707671746486,20482603346.4473
22,Bulgaria,2019,Central and Eastern Europe,7.03,30.1619512,3901.6,75.347,61.4157597583322,68911930627.8977
23,Croatia,2019,Central and Eastern Europe,6.57,16.7662931,2911.0,57.242,59.5604407540717,61329267533.1316
24,Estonia,2019,Central and Eastern Europe,7.9,8.4680352,2155.0,69.051,61.5471502058817,31081901909.2151
25,Georgia,2019,Central and Eastern Europe,5.42,12.06208,2935.0,59.039,60.7675132811473,17470436258.5131
